EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/synch/sxlock/innodb/trx_purge_latch	11697	2.2566	0.0002
wait/io/file/sql/casetest	10	0.1970	0.0197
wait/synch/mutex/innodb/row_drop_list_mutex	691	0.1409	0.0002
wait/io/file/mysys/cnf	5	0.1140	0.0228
wait/synch/mutex/innodb/innobase_share_mutex	333	0.0892	0.0003
wait/synch/mutex/innodb/ibuf_mutex	576	0.0875	0.0002
wait/synch/sxlock/innodb/dict_table_stats	176	0.0849	0.0005
wait/io/file/sql/pid	3	0.0477	0.0159
wait/synch/mutex/innodb/file_format_max_mutex	328	0.0444	0.0001
wait/synch/mutex/innodb/trx_pool_manager_mutex	168	0.0319	0.0002
wait/synch/mutex/innodb/recalc_pool_mutex	77	0.0138	0.0002
wait/io/file/sql/global_ddl_log	2	0.0109	0.0054
wait/synch/mutex/innodb/recv_sys_mutex	174	0.0092	0.0001
wait/synch/mutex/innodb/thread_mutex	32	0.0029	0.0001
wait/synch/mutex/innodb/recv_writer_mutex	3	0.0005	0.0002
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	12	0.0004	0.0000
wait/synch/mutex/innodb/autoinc_mutex	1	0.0000	0.0000
EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/io/table/sql/handler	158978804	8793833.4987	0.0553
wait/io/file/innodb/innodb_data_file	18548460	3871963.7196	0.2087
wait/synch/sxlock/innodb/btr_search_latch	109479609	1487897.3964	0.0136
wait/synch/sxlock/innodb/hash_table_locks	979167766	118955.8289	0.0001
wait/synch/mutex/innodb/lock_mutex	167821467	86620.1164	0.0005
wait/synch/sxlock/innodb/index_tree_rw_lock	136661243	78925.0739	0.0006
wait/lock/table/sql/handler	85468793	71461.6737	0.0008
wait/synch/mutex/innodb/log_sys_mutex	123973802	53700.5833	0.0004
wait/synch/mutex/innodb/buf_pool_mutex	139803714	46656.8729	0.0003
wait/synch/mutex/innodb/fil_system_mutex	172528387	37198.8577	0.0002
wait/io/file/innodb/innodb_log_file	26803	36437.1976	1.3594
wait/synch/mutex/innodb/trx_mutex	873483579	32643.7100	0.0000
wait/synch/mutex/innodb/trx_sys_mutex	79378032	19997.0884	0.0003
wait/synch/sxlock/innodb/fil_space_latch	3197710	12101.4987	0.0038
wait/synch/sxlock/innodb/dict_operation_lock	58432061	5545.0459	0.0001
wait/synch/mutex/innodb/log_sys_write_mutex	367232	4650.6484	0.0127
wait/synch/mutex/innodb/sync_array_mutex	12096605	4152.8330	0.0003
wait/synch/mutex/innodb/redo_rseg_mutex	16684801	3439.5215	0.0002
wait/synch/mutex/innodb/buf_dblwr_mutex	2621311	2495.3408	0.0010
wait/synch/mutex/innodb/flush_list_mutex	18336458	1944.5445	0.0001
wait/synch/mutex/innodb/log_flush_order_mutex	12280074	1932.9393	0.0002
wait/synch/mutex/innodb/trx_undo_mutex	41884406	1775.4289	0.0000
wait/synch/mutex/innodb/trx_pool_mutex	300	1276.4063	4.2547
wait/synch/mutex/innodb/nvdimm_static_region_mutex	8830425	714.7289	0.0001
wait/synch/mutex/innodb/dict_sys_mutex	1477131	707.7019	0.0005
wait/synch/sxlock/innodb/checkpoint_lock	164	509.8381	3.1088
wait/synch/mutex/innodb/srv_sys_mutex	2269222	167.6994	0.0001
wait/synch/mutex/innodb/nvdimm_dynamic_region_mutex	1949415	127.4675	0.0001
wait/synch/mutex/innodb/lock_wait_mutex	43729	119.1771	0.0027
wait/synch/mutex/innodb/rw_lock_list_mutex	2097391	42.1598	0.0000
wait/io/file/sql/ERRMSG	5	38.5050	7.7010
wait/io/file/sql/dbopt	188	31.3050	0.1665
wait/synch/mutex/innodb/purge_sys_pq_mutex	263033	26.0927	0.0001
wait/synch/mutex/innodb/ibuf_bitmap_mutex	176890	22.5969	0.0001
wait/io/file/sql/FRM	1365	15.8159	0.0116
